galaxy,psp_bic,lcdm_bic,diff
WALLABY_J125548+041805,7004481.250050684,7013306.548243985,-8825.298193300143
WALLABY_J125549+040049,29683151.37240049,29693075.58859925,-9924.216198761016
WALLABY_J125604+034843,11062800.423580382,11067149.508398255,-4349.084817873314
WALLABY_J125907-121329,5163754.15994016,5173017.793860645,-9263.633920485154
WALLABY_J125939-145813,141663.44883539772,144413.2927028515,-2749.8438674537756
WALLABY_J125956-192430,8275011.788514217,8280909.695901553,-5897.907387335785
WALLABY_J130017-122041,1644239.418094262,1651293.0091379376,-7053.591043675551
WALLABY_J130053-132655,283204.3458426509,287652.13444423856,-4447.788601587643
WALLABY_J130059-143042,263281.82866795146,265955.67665795883,-2673.8479900073726
WALLABY_J130148-114530,146926.4746458471,149489.69774707232,-2563.223101225216
WALLABY_J130203-145302,1520934.7063501333,1524989.847068268,-4055.1407181348186
WALLABY_J130213-145817,135656.227133274,140109.54863283582,-4453.321499561833
WALLABY_J130213-171416,8557730.336327804,8560040.502086649,-2310.165758844465
WALLABY_J130223-122031,66772.85826175733,67427.62603986132,-654.7677781039965
WALLABY_J130228-204117,239548.4099695731,245678.02885811086,-6129.618888537749
WALLABY_J130235-113803,480472.0093347695,486280.3272316348,-5808.317896865308
WALLABY_J130305+035925,3982596.668786655,3992728.194281952,-10131.52549529681
WALLABY_J130311-172230,2145478.7276021345,2158459.521527786,-12980.79392565135
WALLABY_J130314-172514,11577866.666113734,11626796.506258667,-48929.84014493227
WALLABY_J130315+074816,235965.21273183936,238391.85460287475,-2426.64187103539
WALLABY_J130358+054204,11551.168372151902,12177.148225033474,-625.9798528815718
WALLABY_J130415-102023,51757.69169592947,58767.66756606888,-7009.975870139409
WALLABY_J130515-165316,817321.9496284191,821662.973260176,-4341.023631756892
WALLABY_J130516-172641,24699.58391342081,26649.153422231382,-1949.5695088105713
WALLABY_J130558+035723,46448.93306631557,49334.56950789997,-2885.6364415844
WALLABY_J130618-173039,4480719.559382254,4488827.389448764,-8107.830066509545
WALLABY_J130618-193547,743810.79379705,748781.9381727411,-4971.144375691074
WALLABY_J130739+062006,56427.332088046765,58285.73275563273,-1858.4006675859637
WALLABY_J130758-121123,61490.86912879042,64951.38666940426,-3460.517540613837
WALLABY_J130802+062900,82091.40574564245,83557.30727347227,-1465.9015278298175
WALLABY_J130806-144640,1429633.037977353,1434470.7185493778,-4837.680572024779
WALLABY_J130815-210002,2283708.5326154763,2287752.747472127,-4044.2148566506803
WALLABY_J130818-143213,746573.2897549388,750965.7160370467,-4392.4262821079465
WALLABY_J130854-163609,859061.4284468433,862773.9110672324,-3712.4826203890843
WALLABY_J130906+051433,1495572.1879187948,1511572.3731665341,-16000.185247739311
WALLABY_J130943-163617,207748.03619506542,211314.2096964216,-3566.1735013561847
WALLABY_J130947-101916,1730112.2650115353,1732235.8278192522,-2123.562807716895
WALLABY_J131029-213510,175590.05190126522,179864.01206539245,-4273.960164127231
WALLABY_J131035-214450,458405.7199595581,460414.76117725007,-2009.0412176919635
WALLABY_J131115-180605,1200463.00073143,1201886.1979911295,-1423.1972596994601
WALLABY_J131122+032431,698948.2612308722,704278.5667888151,-5330.305557942833
WALLABY_J131206+052832,6408169.606082886,6410191.665586487,-2022.0595036009327
WALLABY_J131234-173225,241805.55685691506,243023.27632891486,-1217.7194719997933
WALLABY_J131237-142630,143850.27639455066,147394.07552207963,-3543.799127528968
WALLABY_J131321-185558,185115.3850708568,187738.64685620862,-2623.261785351817
WALLABY_J131334-152553,784509.546702046,789544.6031992676,-5035.056497221696
WALLABY_J131400-164707,976139.1727851812,980773.2795062569,-4634.106721075717
WALLABY_J131430-173154,820804.8809376451,823398.0656293973,-2593.1846917521907
WALLABY_J131431-162247,3689735.162017448,3691808.3744626404,-2073.2124451925047
WALLABY_J131658-163757,445123.536365851,448095.88495644496,-2972.3485905939597
WALLABY_J131702-104612,323109.33418608573,324787.80073536607,-1678.4665492803324
WALLABY_J131706-161516,486754.910877001,489556.7248876513,-2801.8140106502688
WALLABY_J131712-171511,335971.5800867721,337067.16797321266,-1095.5878864405677
WALLABY_J131739-213708,1338919.4854526205,1344682.0593931626,-5762.573940542061
WALLABY_J131830-143635,370880.57137414,374642.8876789404,-3762.3163048003917
WALLABY_J131840-150339,744403.8971370924,748192.6776971981,-3788.78056010569
WALLABY_J132017-144841,570160.3889807514,572601.2721443222,-2440.8831635707757
WALLABY_J132043-220256,1538822.4136777953,1543235.4649794356,-4413.051301640226
WALLABY_J132050-232904,2604419.412956841,2608582.716513271,-4163.303556430154
